,name,github_id,category,group,group_id,github_url,homepage,license,created_at,updated_at,last_commit_pushed_at,commit_count,recent_commit_count,fork_count,watchers_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,dependent_project_count,github_dependent_project_count,contributor_count,projectrank,show,monthly_downloads,projectrank_placing,trending,labels,github_release_downloads,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,updated_github_id,npm_id,npm_url,npm_monthly_downloads,dockerhub_stars,pypi_id,pypi_url,pypi_monthly_downloads,helm_id,maven_id,maven_url,brew_id,gem_url,new_addition,apt_id
0,iota-identity,iotaledger/identity.rs,decentralized,True,iota,https://github.com/iotaledger/identity.rs,https://github.com/iotaledger/identity.rs,Apache-2.0,2020-02-06 14:33:11,2023-11-01 23:16:10.000000,2023-10-31 08:54:00,10155.0,406.0,243.0,124.0,5706.0,325.0,4450.0,1210.0,2023-10-31 09:47:01,0.6.3,238.0,Implementation of the Decentralized Identity standards such as DID and Verifiable Credentials by W3C for the IOTA..,310.0,101.0,195.0,36,True,11984.0,1.0,12.0,,,,,,,,,,,,,,,,,,,,,
1,aries,hyperledger/aries,decentralized,True,aries,https://github.com/hyperledger/aries,https://github.com/hyperledger/aries,Apache-2.0,2019-05-08 16:49:48,2023-11-01 21:28:10.000000,2023-11-01 21:10:45,23747.0,719.0,985.0,188.0,6392.0,930.0,2798.0,1332.0,2023-10-25 15:52:57,,228.0,"Hyperledger Aries is infrastructure for blockchain-rooted, peer-to-peer interactions.",52.0,,461.0,33,True,584.0,1.0,,['hyperledger'],,,,,,,,,,,,,,,,,,,,
2,trinsic-id,trinsic-id/sdk,decentralized,True,trinsic-id,https://github.com/trinsic-id/sdk,https://github.com/trinsic-id/sdk,Apache-2.0,2020-10-19 15:17:13,2023-10-28 01:56:33.000000,2023-10-26 13:23:15,1621.0,67.0,27.0,23.0,1768.0,32.0,394.0,53.0,2023-10-13 17:40:05,1.12.0,34.0,Trinsic SDK repository.,542.0,,41.0,28,False,1536.0,1.0,,,8873.0,,,,,,,,,,,,,,,,,,,
3,sphereon-ssi,sphereon-opensource/ssi-sdk,decentralized,True,sphereon-ssi,https://github.com/Sphereon-Opensource/SSI-SDK,https://github.com/Sphereon-Opensource/SSI-SDK,Apache-2.0,2021-04-12 14:54:14,2023-10-26 10:56:49.000000,2023-10-26 10:56:49,4423.0,352.0,49.0,34.0,501.0,22.0,54.0,201.0,2023-10-14 23:03:15,0.17.5,82.0,Self Sovereign Identity SDK.,57.0,1.0,60.0,25,True,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,
4,waltid-ssikit,walt-id/waltid-ssikit,decentralized,True,waltid-ssikit,https://github.com/walt-id/waltid-ssikit,https://github.com/walt-id/waltid-ssikit,Apache-2.0,2021-08-04 08:19:14,2023-11-01 19:23:29.000000,2023-11-01 19:23:03,3523.0,314.0,64.0,15.0,401.0,7.0,247.0,152.0,2023-11-01 07:01:35,1.2310181323.0,207.0,All-In-One SSI infrastructure toolkit.,,,51.0,25,True,1782.0,2.0,,,57.0,waltid/ssikit,https://hub.docker.com/r/waltid/ssikit,2023-10-18 13:36:09.505112,9891.0,,,,,,,,,,,,,,,
5,solid-project,solid/solid,standards,True,solid-project,https://github.com/solid/solid,https://github.com/solid/solid,MIT,2015-11-24 05:45:27,2023-11-01 17:36:18.000000,2023-11-01 08:46:32,1087.0,45.0,409.0,612.0,251.0,317.0,217.0,8605.0,2021-12-21 13:00:06,,1.0,Solid - Re-decentralizing the web (project directory).,,,43.0,22,True,,1.0,1.0,['solid'],,,,,,,,,,,,,,,,,,,,
6,polygon-id,0xPolygonID/sh-id-platform,decentralized,True,polygon-id,https://github.com/0xPolygonID/issuer-node,https://github.com/0xPolygonID/issuer-node,Apache-2.0,2022-11-08 12:11:09,2023-11-01 12:01:33.000000,2023-11-01 07:54:57,1558.0,19.0,64.0,13.0,535.0,21.0,98.0,95.0,2023-11-01 07:56:14,2.2.1,32.0,Self Hosted Issuer Node.,64.0,,30.0,21,False,,2.0,,,,,,,,0xPolygonID/issuer-node,,,,,,,,,,,,,,
7,spruceid,spruceid/didkit,decentralized,True,spruceid,https://github.com/spruceid/didkit,https://github.com/spruceid/didkit,Apache-2.0,2020-07-23 21:18:28,2023-11-01 15:52:00.000000,2023-11-01 15:51:52,1029.0,14.0,124.0,80.0,673.0,129.0,198.0,418.0,,,,A cross-platform toolkit for decentralized identity.,117.0,4.0,56.0,20,True,,3.0,,,,ghcr.io/spruceid/didkit-http,https://hub.docker.com/r/ghcr.io/spruceid/didkit-http,,,,,,,,,,,,,,,,,
8,talao-altme,talaodao/altme,decentralized,True,talao-altme,https://github.com/TalaoDAO/AltMe,https://github.com/TalaoDAO/AltMe,Apache-2.0,2021-06-29 14:41:04,2023-11-01 13:42:38.000000,2023-10-26 19:10:59,7390.0,293.0,15.0,10.0,512.0,75.0,1813.0,36.0,2023-01-06 16:00:40,,1.0,SSI + crypto wallet .Self Sovereign Identity wallet with cryptos and NFT features. EBSI conformant.,,,18.0,17,False,,3.0,,,,,,,,,,,,,,,,,,,,,,
9,evernym-ssi,evernym/verity,decentralized,True,evernym-ssi,https://github.com/evernym/verity,https://github.com/evernym/verity,Apache-2.0,2020-01-14 21:16:21,2023-08-08 10:21:22.000000,2023-04-11 16:19:31,6279.0,,55.0,99.0,201.0,3.0,,98.0,2021-03-22 11:09:10,,100.0,Evernym Verity is a decentralized protocol platform for issuing and verifying digital credentials. This repository..,42.0,,144.0,16,False,8.0,3.0,,,,,,,,,,,,,,,,,,,,,,
10,nextauthjs,nextauthjs/next-auth,authentication,,,https://github.com/nextauthjs/next-auth,https://github.com/nextauthjs/next-auth,ISC,2018-01-27 12:28:16,2023-11-01 20:05:45.000000,2023-10-30 23:39:55,2565.0,195.0,2348.0,98.0,2049.0,226.0,3435.0,19570.0,2023-10-18 15:07:14,next-auth@4.24.3,100.0,Authentication for the Web.,151421.0,151421.0,580.0,42,True,2877172.0,1.0,,,,,,,,,next-auth,https://www.npmjs.com/package/next-auth,2877172.0,,,,,,,,,,,
11,coredns,coredns/coredns,machine,,,https://github.com/coredns/coredns,https://github.com/coredns/coredns,Apache-2.0,2016-03-18 20:56:45,2023-10-30 21:18:34.000000,2023-10-30 21:18:33,3771.0,64.0,1874.0,237.0,4041.0,89.0,2109.0,11335.0,2023-08-15 20:00:30,1.11.1,67.0,CoreDNS is a DNS server that chains plugins.,5594.0,5594.0,370.0,41,True,2812999.0,1.0,,"['linux-foundation', 'cncf']",6831497.0,coredns/coredns,https://hub.docker.com/r/coredns/coredns,2023-08-15 20:02:07.060982,251487851.0,,,,,145.0,,,,,,,,,,
12,open-policy-agent,open-policy-agent/opa,authorization,,,https://github.com/open-policy-agent/opa,https://github.com/open-policy-agent/opa,Apache-2.0,2015-12-28 22:08:25,2023-11-01 17:57:45.000000,2023-11-01 14:04:50,4850.0,130.0,1170.0,125.0,3946.0,321.0,2083.0,8645.0,2023-10-26 22:37:54,0.58.0,100.0,"Open Policy Agent (OPA) is an open source, general-purpose policy engine.",3019.0,3019.0,426.0,40,True,4805450.0,1.0,,"['cncf', 'linux-foundation']",4382539.0,openpolicyagent/opa,https://hub.docker.com/r/openpolicyagent/opa,2023-11-01 14:53:27.811707,448354227.0,,,,,39.0,,,,,,,,,,
13,oauthlib,oauthlib/oauthlib,authentication,,,https://github.com/oauthlib/oauthlib,https://github.com/oauthlib/oauthlib,BSD-3-Clause,2011-11-19 23:08:51,2023-10-25 05:42:37.000000,2023-10-25 05:42:36,1677.0,29.0,458.0,69.0,492.0,75.0,293.0,2660.0,2023-01-10 13:13:43,3.2.2,48.0,"A generic, spec-compliant, thorough implementation of the OAuth request-signing logic.",452190.0,452190.0,195.0,40,True,83855452.0,1.0,,,,,,,,,,,,,oauthlib,https://pypi.org/project/oauthlib,83855452.0,,,,,,,
14,cert-manager,cert-manager/cert-manager,pki,,,https://github.com/cert-manager/cert-manager,https://github.com/cert-manager/cert-manager,Apache-2.0,2017-05-24 16:25:59,2023-10-31 16:01:21.000000,2023-10-31 16:01:21,8122.0,183.0,1878.0,148.0,3116.0,163.0,2968.0,10839.0,2023-10-30 12:58:49,1.13.2,100.0,Automatically provision and manage TLS certificates in Kubernetes.,675.0,675.0,414.0,39,True,1595768.0,1.0,,['linux-foundation'],60639221.0,,,,,,,,,,,,,,,,,,,
15,speechbrain,speechbrain/speechbrain,voice,,,https://github.com/speechbrain/speechbrain,https://github.com/speechbrain/speechbrain,Apache-2.0,2020-04-28 17:48:45,2023-11-01 22:00:42.000000,2023-10-30 10:16:51,9583.0,410.0,1134.0,123.0,1015.0,94.0,860.0,6760.0,2023-07-22 18:07:47,0.5.15,9.0,A PyTorch-based Speech Toolkit.,1062.0,1062.0,223.0,38,True,208441.0,1.0,,,,,,,,,,,,,speechbrain,https://pypi.org/project/speechbrain,208441.0,,,,,,,
16,passport,jaredhanson/passport,authentication,,,https://github.com/jaredhanson/passport,https://github.com/jaredhanson/passport,MIT,2011-10-08 22:38:32,2023-10-19 15:43:32.000000,2023-03-10 17:27:55,617.0,,1183.0,312.0,156.0,334.0,424.0,21895.0,,,,"Simple, unobtrusive authentication for Node.js.",937333.0,937333.0,38.0,37,True,9259627.0,2.0,,,,,,,,,passport,https://www.npmjs.com/package/passport,9259627.0,,,,,,,,,,,
17,keycloak,keycloak/keycloak,idp,,,https://github.com/keycloak/keycloak,https://github.com/keycloak/keycloak,Apache-2.0,2013-07-02 13:38:51,2023-11-01 22:04:29.000000,2023-11-01 21:14:11,23215.0,643.0,5610.0,367.0,13175.0,1882.0,5923.0,17878.0,2023-10-24 10:22:23,22.0.5,43.0,Open Source Identity and Access Management For Modern Applications and Services.,,,1286.0,37,True,62078.0,1.0,,['cncf'],2172744.0,quay.io/keycloak/keycloak,https://hub.docker.com/r/quay.io/keycloak/keycloak,,,,,,,,,,,,,,,,,
18,vault,hashicorp/vault,pki,,,https://github.com/hashicorp/vault,https://github.com/hashicorp/vault,,2015-02-25 00:15:59,2023-11-01 23:13:08.000000,2023-11-01 23:12:51,18477.0,666.0,3830.0,814.0,18089.0,915.0,4803.0,28799.0,2023-10-25 00:27:02,1.15.1,100.0,"A tool for secrets management, encryption as a service, and privileged access management.",6680.0,6680.0,1419.0,36,False,,2.0,,['hashicorp'],,,,,,,,,,,,,,,,,,,,
19,ory-kratos,ory/kratos,idp,,,https://github.com/ory/kratos,https://github.com/ory/kratos,Apache-2.0,2018-05-29 16:09:37,2023-11-01 08:05:48.000000,2023-10-31 09:23:18,4014.0,147.0,804.0,107.0,1747.0,176.0,998.0,9516.0,2023-07-12 20:24:48,1.0.0,43.0,"Next-gen identity server (think Auth0, Okta, Firebase) with Ory-hardened authentication, PassKeys, MFA, FIDO2, TOTP,..",326.0,326.0,213.0,36,True,1703121.0,1.0,,['ory'],34406.0,oryd/kratos,https://hub.docker.com/r/oryd/kratos,2023-07-12 20:24:47.415774,112356721.0,,,,,17.0,,,,https://k8s.ory.sh/helm/charts,,,,,,
20,casbin,casbin/casbin,authorization,,,https://github.com/casbin/casbin,https://github.com/casbin/casbin,Apache-2.0,2017-04-08 07:51:23,2023-10-30 06:10:48.000000,2023-10-30 06:05:45,1078.0,14.0,1538.0,231.0,479.0,35.0,734.0,15939.0,2023-09-02 15:37:12,2.77.2,100.0,"An authorization library that supports access control models like ACL, RBAC, ABAC in Golang:..",2579.0,2579.0,135.0,35,True,293842.0,2.0,,,,,,,,,casbin,https://www.npmjs.com/package/casbin,174324.0,,casbin,https://pypi.org/project/casbin,119518.0,,org.casbin:casbin-spring-boot-starter,https://search.maven.org/artifact/org.casbin/casbin-spring-boot-starter,,,,
21,ory-hydra,ory/hydra,authentication,,,https://github.com/ory/hydra,https://github.com/ory/hydra,Apache-2.0,2015-05-22 12:42:08,2023-10-31 10:44:39.000000,2023-10-24 08:44:35,3731.0,63.0,1316.0,234.0,1722.0,75.0,1389.0,14624.0,2023-05-24 08:55:23,2.1.2,100.0,"OpenID Certified OpenID Connect and OAuth Provider written in Go - cloud native, security-first, open source API..",2.0,2.0,290.0,35,True,4016160.0,2.0,-1.0,['ory'],655368.0,oryd/hydra,https://hub.docker.com/r/oryd/hydra,2023-08-16 21:09:15.061728,408665447.0,,,,,75.0,,,,https://k8s.ory.sh/helm/charts,,,,,,
22,face-api-js,justadudewhohacks/face-api.js,face,,,https://github.com/justadudewhohacks/face-api.js,https://github.com/justadudewhohacks/face-api.js,MIT,2018-05-19 06:14:53,2023-09-03 13:34:38.000000,2020-04-22 16:40:10,488.0,,3501.0,334.0,107.0,422.0,389.0,15570.0,2020-03-22 14:01:55,0.22.2,38.0,JavaScript API for face detection and face recognition in the browser and nodejs with tensorflow.js.,7592.0,7592.0,25.0,34,False,162558.0,1.0,,,,,,,,,face-api.js,https://www.npmjs.com/package/face-api.js,162558.0,,,,,,,,,,,
23,casl,stalniy/casl,authorization,,,https://github.com/stalniy/casl,https://github.com/stalniy/casl,MIT,2017-07-18 17:49:47,2023-11-01 15:28:47.000000,2023-10-17 06:26:58,1498.0,9.0,248.0,42.0,341.0,12.0,424.0,5234.0,2023-07-28 06:28:52,@casl/mongoose@7.2.1,100.0,CASL is an isomorphic authorization JavaScript library which restricts what resources a given user is allowed to access.,57003.0,57003.0,66.0,34,True,2102584.0,2.0,,,,,,,,,@casl/ability,https://www.npmjs.com/package/@casl/ability,2102584.0,,,,,,,,,,,
24,ockam,build-trust/ockam,machine,,,https://github.com/build-trust/ockam,https://github.com/build-trust/ockam,Apache-2.0,2018-11-30 18:57:01,2023-11-01 19:21:26.000000,2023-11-01 18:25:27,7250.0,985.0,515.0,57.0,4993.0,316.0,1353.0,3856.0,2023-10-27 05:46:58,ockam_v0.100.0,100.0,"Orchestrate end-to-end encryption, cryptographic identities, mutual authentication, and authorization policies between..",183.0,183.0,288.0,34,True,13834.0,2.0,,,332028.0,,,,,,,,,,,,,,,,build-trust/ockam/ockam,,,
25,cas,apereo/cas,idp,,,https://github.com/apereo/cas,https://github.com/apereo/cas,Apache-2.0,2011-09-09 01:36:42,2023-11-01 22:26:59.000000,2023-11-01 22:26:57,23972.0,454.0,3809.0,610.0,4504.0,,,10513.0,2023-10-16 07:04:06,6.6.13,100.0,Apereo CAS - Identity & Single Sign On for all earthlings and beyond.,21.0,21.0,339.0,33,True,5801.0,2.0,,,,apereo/cas,https://hub.docker.com/r/apereo/cas,2023-11-01 00:45:30.816701,847017.0,,,,,128.0,,,,,,,,,,
26,pomerium,pomerium/pomerium,machine,,,https://github.com/pomerium/pomerium,https://github.com/pomerium/pomerium,Apache-2.0,2019-01-01 08:04:37,2023-11-01 22:43:54.000000,2023-11-01 20:50:59,3130.0,120.0,273.0,36.0,3712.0,84.0,851.0,3701.0,2023-08-28 14:49:52,0.23.0,100.0,Pomerium is an identity and context-aware access proxy.,13.0,13.0,91.0,33,True,16631630.0,2.0,,,48556.0,pomerium/pomerium,https://hub.docker.com/r/pomerium/pomerium,2023-11-01 21:04:41.893714,964577121.0,,,,,10.0,,,,,,,,,,
27,ageitgey-face-recognition,ageitgey/face_recognition,face,,,https://github.com/ageitgey/face_recognition,https://github.com/ageitgey/face_recognition,MIT,2017-03-03 21:52:39,2023-10-18 08:51:11.000000,2022-06-10 09:12:18,238.0,,12828.0,1573.0,222.0,714.0,584.0,49952.0,2018-04-02 17:18:43,1.2.2,2.0,The worlds simplest facial recognition api for Python and the command line.,21.0,21.0,54.0,32,False,61767.0,2.0,1.0,,1185.0,animcogn/face_recognition,https://hub.docker.com/r/animcogn/face_recognition,2021-08-17 00:42:22.824355,7005.0,,,,,16.0,face_recognition,https://pypi.org/project/face_recognition,61665.0,,,,,,,
28,insightface,deepinsight/insightface,face,,,https://github.com/deepinsight/insightface,https://github.com/deepinsight/insightface,,2017-09-01 00:36:51,2023-10-01 11:57:13.000000,2023-09-10 02:01:49,2281.0,21.0,4754.0,489.0,149.0,970.0,1337.0,18700.0,2023-04-02 07:43:27,0.7,1.0,State-of-the-art 2D and 3D Face Analysis Project.,1129.0,1129.0,57.0,32,False,123592.0,2.0,,,865140.0,animcogn/insightface,https://hub.docker.com/r/animcogn/insightface,2021-03-18 22:57:48.799620,138.0,,,,,,,,,,,,,,,
29,paddlespeech,PaddlePaddle/PaddleSpeech,voice,,,https://github.com/PaddlePaddle/PaddleSpeech,https://github.com/PaddlePaddle/PaddleSpeech,Apache-2.0,2017-11-14 12:36:30,2023-10-31 07:51:11.000000,2023-09-19 06:25:53,4731.0,5.0,1639.0,180.0,1683.0,372.0,1325.0,8961.0,2023-04-14 09:36:52,r1.4.1,15.0,"Easy-to-use Speech Toolkit including Self-Supervised Learning model, SOTA/Streaming ASR with punctuation, Streaming..",80.0,80.0,128.0,32,True,180241.0,3.0,,,,,,,,,,,,,paddlepaddle,https://pypi.org/project/paddlepaddle,180241.0,,,,,,,
30,spire,spiffe/spire,machine,,,https://github.com/spiffe/spire,https://github.com/spiffe/spire,Apache-2.0,2017-08-11 18:46:51,2023-11-01 17:09:19.000000,2023-11-01 17:09:19,6258.0,152.0,407.0,82.0,3321.0,151.0,1153.0,1535.0,2023-10-25 21:26:30,1.8.3,90.0,The SPIFFE Runtime Environment.,120.0,120.0,178.0,32,True,2253.0,2.0,,"['cncf', 'linux-foundation']",164495.0,ghcr.io/spiffe/spire-server,https://hub.docker.com/r/ghcr.io/spiffe/spire-server,,,,,,,,,,,,,,,,,
31,dex,dexidp/dex,authentication,,,https://github.com/dexidp/dex,https://github.com/dexidp/dex,Apache-2.0,2015-08-17 17:57:06,2023-11-01 04:14:32.000000,2023-10-25 14:03:03,2625.0,85.0,1468.0,178.0,1903.0,278.0,796.0,8519.0,2023-06-30 14:12:39,2.37.0,80.0,OpenID Connect (OIDC) identity and OAuth 2.0 provider with pluggable connectors.,143.0,143.0,223.0,31,True,3.0,2.0,,['linux-foundation'],305.0,quay.io/dexidp/dex,https://hub.docker.com/r/quay.io/dexidp/dex,,,,,,,,,,,,,,,,,
32,spicedb,authzed/spicedb,authorization,,,https://github.com/authzed/spicedb,https://github.com/authzed/spicedb,Apache-2.0,2021-08-16 15:32:09,2023-11-01 18:43:02.000000,2023-10-31 15:12:33,3280.0,251.0,208.0,37.0,1211.0,103.0,298.0,3958.0,2023-10-20 08:12:01,1.26.0,59.0,"Open Source, Google Zanzibar-inspired fine-grained permissions database.",38.0,38.0,37.0,31,True,48996.0,2.0,,,29992.0,authzed/spicedb,https://hub.docker.com/r/authzed/spicedb,2023-10-31 15:43:03.531627,1291768.0,,,,,4.0,,,,,,,,,,
33,faceswap,deepfakes/faceswap,face,,,https://github.com/deepfakes/faceswap,https://github.com/deepfakes/faceswap,GPL-3.0,2017-12-19 09:44:13,2023-10-24 22:47:28.000000,2023-10-24 22:47:08,1782.0,15.0,12485.0,1534.0,513.0,15.0,815.0,47405.0,2023-06-18 18:08:19,2.2.0,4.0,Deepfakes Software For All.,,,97.0,30,True,2554.0,2.0,,,145634.0,,,,,,,,,,,,,,,,,,,
34,deepface,serengil/deepface,face,,,https://github.com/serengil/deepface,https://github.com/serengil/deepface,MIT,2020-02-08 20:42:28,2023-10-30 08:51:50.000000,2023-10-25 14:29:02,1095.0,21.0,1510.0,109.0,89.0,8.0,783.0,7936.0,,,,"A Lightweight Face Recognition and Facial Attribute Analysis (Age, Gender, Emotion and Race) Library for Python.",2063.0,2063.0,47.0,30,True,109756.0,2.0,,,,,,,,,,,,,deepface,https://pypi.org/project/deepface,109756.0,,,,,,,
35,boundary,hashicorp/boundary,machine,,,https://github.com/hashicorp/boundary,https://github.com/hashicorp/boundary,,2020-01-08 18:24:07,2023-11-01 23:11:09.000000,2023-11-01 21:41:54,3495.0,195.0,252.0,202.0,3657.0,78.0,236.0,3712.0,2023-10-17 19:10:26,0.14.1,47.0,Boundary enables identity-based access management for dynamic infrastructure.,8.0,8.0,145.0,30,False,225392.0,3.0,1.0,['hashicorp'],,hashicorp/boundary,https://hub.docker.com/r/hashicorp/boundary,2023-10-17 19:23:39.616384,10368036.0,,,,,11.0,,,,,,,,,,
36,did-jwt,decentralized-identity/did-jwt,decentralized,,,https://github.com/decentralized-identity/did-jwt,https://github.com/decentralized-identity/did-jwt,Apache-2.0,2018-02-24 02:00:53,2023-11-01 22:36:06.000000,2023-11-01 11:36:39,608.0,27.0,63.0,40.0,211.0,4.0,83.0,303.0,2023-11-01 11:37:20,7.4.5,100.0,Create and verify DID verifiable JWTs in Javascript.,4073.0,4073.0,41.0,30,True,151112.0,1.0,,['dif'],,,,,,,did-jwt,https://www.npmjs.com/package/did-jwt,151112.0,,,,,,,,,,,
37,deepfacelab,iperov/DeepFaceLab,face,,,https://github.com/iperov/DeepFaceLab,https://github.com/iperov/DeepFaceLab,GPL-3.0,2018-06-04 13:10:00,2023-10-24 10:56:48.000000,2023-04-27 06:45:45,1313.0,,8877.0,1105.0,131.0,540.0,801.0,43119.0,2020-04-09 05:48:48,DF.wf.288res.384.92.72.22,2.0,DeepFaceLab is the leading software for creating deepfakes.,21.0,21.0,22.0,29,True,3735.0,3.0,,,164382.0,,,,,,,,,,,,,,,,,,,
38,openface,cmusatyalab/openface,face,,,https://github.com/cmusatyalab/openface,https://github.com/cmusatyalab/openface,Apache-2.0,2015-09-16 12:47:27,2023-10-25 21:16:29.000000,2023-06-14 17:20:41,735.0,,3483.0,759.0,74.0,9.0,370.0,14898.0,2016-02-25 17:42:46,0.2.1,4.0,Face recognition with deep neural networks.,67.0,67.0,30.0,29,True,1642.0,3.0,,,,bamos/openface,https://hub.docker.com/r/bamos/openface,2018-06-18 18:11:58.528635,160970.0,,,,,70.0,,,,,,,,,,
